filename,prompt,magic_prompt,magic_prompt_output,aspect_ratio,model,visibility,seed_number,rendering,negative_prompt,style,color_palette,image_url
0001_1_a-realistic-photograph-of-a-professional_vPhppx9cTgeBlk6G4pwHLQ_hlXInRCuRK2eT0fYJKZQkg.jpeg,"Un agent de nettoyage en tenue professionnelle lavant de grandes fenêtres avec raclette et seau, lumière naturelle entrant par les vitres, extérieur visible à travers, style réaliste, propre et lumineux",AUTO,"A realistic photograph of a professional window cleaner in crisp navy blue uniform with company logo, methodically cleaning large floor-to-ceiling windows using a squeegee and water bucket. The worker displays precise technique as they glide the squeegee across the glass surface, removing soap suds to reveal crystal-clear transparency. Abundant natural daylight streams through the freshly cleaned windows, illuminating the indoor space with bright, diffused light while revealing a bustling cityscape or green landscape visible through the pristine glass. The scene captures the satisfying contrast between the cleaned and uncleaned sections of the windows, emphasizing the professional quality and attention to detail in a clean, well-lit commercial or residential setting.",1:1,3.0,public,1423042706,turbo,,auto,,https://ideogram.ai/g/hlXInRCuRK2eT0fYJKZQkg/0
0001_2_a-realistic-photograph-of-a-professional_CtCGa4FdRpqiVz6CVEBD7g_hlXInRCuRK2eT0fYJKZQkg.jpeg,"Un agent de nettoyage en tenue professionnelle lavant de grandes fenêtres avec raclette et seau, lumière naturelle entrant par les vitres, extérieur visible à travers, style réaliste, propre et lumineux",AUTO,"A realistic photograph of a professional cleaning agent in crisp uniform washing large floor-to-ceiling windows with a squeegee and bucket. The worker is positioned mid-motion, methodically cleaning the glass surface with precise strokes, wearing a neat navy blue uniform with utility belt and professional cleaning gloves. Brilliant natural sunlight streams through the pristine windows, creating bright reflections and illuminating the spacious interior space. Through the crystal-clear glass, a well-maintained urban landscape is visible with green trees and modern buildings, while the overall scene conveys cleanliness, professionalism, and the satisfying transformation of dirty glass into sparkling transparency.",1:1,3.0,public,1423042706,turbo,,auto,,https://ideogram.ai/g/hlXInRCuRK2eT0fYJKZQkg/1
0001_3_a-realistic-photograph-of-a-professional_7vC-WOybQkGcJRUzzzP9RQ_hlXInRCuRK2eT0fYJKZQkg.jpeg,"Un agent de nettoyage en tenue professionnelle lavant de grandes fenêtres avec raclette et seau, lumière naturelle entrant par les vitres, extérieur visible à travers, style réaliste, propre et lumineux",AUTO,"A realistic photograph of a professional cleaning agent wearing a crisp blue uniform and safety harness, methodically washing large floor-to-ceiling windows with a squeegee and bucket. The worker demonstrates practiced technique as they glide the squeegee across the glass surface, leaving streak-free clarity in their wake. Brilliant natural daylight streams through the freshly cleaned windows, illuminating the indoor space with warm golden light while revealing a bustling cityscape or green landscape visible through the transparent glass. The scene captures the satisfaction of professional window cleaning work, with pristine reflective surfaces and the contrast between the bright exterior world and the clean, luminous interior space.",1:1,3.0,public,1423042706,turbo,,auto,,https://ideogram.ai/g/hlXInRCuRK2eT0fYJKZQkg/2
0001_4_a-realistic-photograph-of-a-professional_xvnQtnPfQnabPpC8WfR64Q_hlXInRCuRK2eT0fYJKZQkg.jpeg,"Un agent de nettoyage en tenue professionnelle lavant de grandes fenêtres avec raclette et seau, lumière naturelle entrant par les vitres, extérieur visible à travers, style réaliste, propre et lumineux",AUTO,"A realistic photograph of a professional cleaning agent wearing pristine work uniform washing large floor-to-ceiling windows with a squeegee and bucket. The cleaner is positioned mid-action, methodically cleaning the glass surface with smooth, practiced strokes, wearing navy blue coveralls with reflective safety strips and rubber gloves. Bright natural sunlight streams through the freshly cleaned windows, creating brilliant reflections and highlighting the sparkling, streak-free glass surface. Through the transparent windows, a bustling cityscape or green landscaped courtyard is visible, while the interior space appears clean and luminous with the enhanced natural light flooding in.",1:1,3.0,public,1423042706,turbo,,auto,,https://ideogram.ai/g/hlXInRCuRK2eT0fYJKZQkg/3
0002_1_a-realistic-photograph-of-a-professional_92FQ3KXuQLWqTO77desLpQ_lYqSMvImSPus5eS_Vdod0A.jpeg,"Un employé de nettoyage en tenue professionnelle nettoyant un bureau moderne avec ordinateur, chaise et table, essuyant les surfaces, ambiance lumineuse et organisée, style réaliste et professionnel, couleur neutre",AUTO,"A realistic photograph of a professional cleaning employee in crisp uniform meticulously cleaning a modern office space. The worker wears a neat navy blue polo shirt with company logo and dark slacks, carefully wiping down surfaces with a microfiber cloth around a sleek glass desk featuring a silver laptop computer and ergonomic black office chair. The contemporary workspace showcases clean lines with white walls, organized shelving, and minimal decor in soft neutral tones of beige, gray, and white. Bright natural lighting streams through large windows, creating a fresh and orderly atmosphere that emphasizes cleanliness and professional efficiency.",1:1,3.0,public,2105321260,turbo,,auto,,https://ideogram.ai/g/lYqSMvImSPus5eS_Vdod0A/0
0002_2_a-realistic-photograph-of-a-professional_LA5sFOB8QSOS8TfWMHy2Zw_lYqSMvImSPus5eS_Vdod0A.jpeg,"Un employé de nettoyage en tenue professionnelle nettoyant un bureau moderne avec ordinateur, chaise et table, essuyant les surfaces, ambiance lumineuse et organisée, style réaliste et professionnel, couleur neutre",AUTO,"A realistic photograph of a professional cleaning employee in crisp uniform meticulously wiping down surfaces in a modern office space. The worker wears a navy blue polo shirt with company logo and khaki pants, using a microfiber cloth to clean a sleek glass desk that holds a silver laptop computer and ergonomic black office chair. The contemporary workspace features clean white walls, organized shelving, and large windows allowing natural daylight to flood the room, creating bright, even lighting. The overall atmosphere conveys efficiency and professionalism with a neutral color palette of whites, grays, and soft blues throughout the polished office environment.",1:1,3.0,public,2105321260,turbo,,auto,,https://ideogram.ai/g/lYqSMvImSPus5eS_Vdod0A/1
0002_3_a-realistic-photograph-of-a-professional_vv_Zx6j_SrKyjkPkwM48rA_lYqSMvImSPus5eS_Vdod0A.jpeg,"Un employé de nettoyage en tenue professionnelle nettoyant un bureau moderne avec ordinateur, chaise et table, essuyant les surfaces, ambiance lumineuse et organisée, style réaliste et professionnel, couleur neutre",AUTO,"A realistic photograph of a professional cleaning employee in crisp uniform meticulously cleaning a modern office workspace. The worker, wearing a navy blue polo shirt with company logo and matching trousers, carefully wipes down a sleek glass desk surface with a microfiber cloth while maintaining proper posture. The contemporary office features a black ergonomic chair, a silver laptop computer, and organized desk accessories arranged on a white lacquered table. Bright natural light streams through large windows, illuminating the neutral color palette of whites, grays, and soft beiges, creating a clean and organized professional atmosphere.",1:1,3.0,public,2105321260,turbo,,auto,,https://ideogram.ai/g/lYqSMvImSPus5eS_Vdod0A/2
0002_4_a-realistic-professional-photograph-of-a_fLCxrlxNTGWJrqLYYGZGTA_lYqSMvImSPus5eS_Vdod0A.jpeg,"Un employé de nettoyage en tenue professionnelle nettoyant un bureau moderne avec ordinateur, chaise et table, essuyant les surfaces, ambiance lumineuse et organisée, style réaliste et professionnel, couleur neutre",AUTO,"A realistic professional photograph of a cleaning employee in crisp uniform meticulously wiping down surfaces in a modern office environment. The worker wears a pressed navy blue polo shirt with company logo and dark trousers, carefully cleaning a sleek glass-top desk with a microfiber cloth while maintaining proper posture. The contemporary workspace features a high-end computer monitor, ergonomic black office chair, and minimalist desk accessories arranged in perfect order. Bright natural light streams through large windows, illuminating the pristine space with soft shadows and creating a clean, organized atmosphere in neutral tones of white, gray, and subtle wood accents.",1:1,3.0,public,2105321260,turbo,,auto,,https://ideogram.ai/g/lYqSMvImSPus5eS_Vdod0A/3
0003_1_a-realistic-photograph-of-a-professional_Q9EIUe9nSKCX7dmwr8fagA_366fYuM2Qx6g7VBeGPf3EQ.jpeg,"Une femme en uniforme de ménage moderne nettoyant un salon lumineux et ordonné, avec un aspirateur ou un balai, ambiance propre et professionnelle, lumière naturelle, style réaliste, couleurs claires et nettes",AUTO,"A realistic photograph of a professional woman in a modern cleaning uniform meticulously cleaning a bright, well-organized living room. She wears a crisp navy blue polo shirt with matching trousers and comfortable white sneakers, holding a sleek cordless vacuum cleaner with confident, practiced movements. The spacious salon features minimalist furniture with clean lines, including a cream-colored sectional sofa, glass coffee table, and white entertainment center, all arranged with perfect symmetry. Abundant natural light streams through large windows, casting soft shadows across the polished hardwood floors and creating a fresh, immaculate atmosphere with sharp, clear details throughout the scene.",1:1,3.0,public,696920107,turbo,,auto,,https://ideogram.ai/g/366fYuM2Qx6g7VBeGPf3EQ/0
0003_2_a-realistic-photograph-of-a-professional_jKyU0gnIR52kCGAqiR-c9Q_366fYuM2Qx6g7VBeGPf3EQ.jpeg,"Une femme en uniforme de ménage moderne nettoyant un salon lumineux et ordonné, avec un aspirateur ou un balai, ambiance propre et professionnelle, lumière naturelle, style réaliste, couleurs claires et nettes",AUTO,"A realistic photograph of a professional woman in a modern cleaning uniform methodically cleaning a bright, well-organized living room. She wears a crisp navy blue polo shirt with subtle logo detailing and matching dark pants, her hair neatly pulled back as she operates a sleek cordless vacuum cleaner across pristine hardwood floors. The spacious salon features minimalist furniture with clean lines, including a light gray sectional sofa, glass coffee table, and white floating shelves displaying carefully arranged books and plants. Abundant natural light streams through large windows, casting soft shadows and illuminating the spotless surfaces with a warm, inviting glow that emphasizes the immaculate cleanliness and professional atmosphere.",1:1,3.0,public,696920107,turbo,,auto,,https://ideogram.ai/g/366fYuM2Qx6g7VBeGPf3EQ/1
